mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.107124614715577,0.726925982913484,0.24644832611083983,0.018586980413102153,True,entropy,48,,12,9,624,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 48, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 9, 'n_estimators': 624}",0.7182883341823739,0.7182883341823739,0.7310239429444727,0.7150866462793068,0.7115188583078491,0.7188412231792752,0.006583979167208744,2
4.263889646530151,0.6009066659020726,0.05249300003051758,0.008695218727453859,False,gini,42,,12,9,109,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 42, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 9, 'n_estimators': 109}",0.6011207335710647,0.60825267447784,0.6199694345389709,0.6065239551478083,0.6202854230377166,0.6112304441546801,0.007636582934972205,16
1.8289203643798828,0.1919995187467071,0.1349736213684082,0.015764544861442662,False,entropy,22,log2,9,6,353,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 22, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 353}",0.6123280692817117,0.6123280692817117,0.6265919510952623,0.617737003058104,0.6065239551478083,0.6151018095729196,0.006751806482007082,15
2.3077986240386963,0.04889584175915497,0.19464616775512694,0.0206652067818429,False,entropy,57,log2,9,5,469,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 57, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 469}",0.6148751910341315,0.6107997962302598,0.6265919510952623,0.6146788990825688,0.6111111111111112,0.6156113897106668,0.00575131628200027,14
3.236470365524292,0.12174420477600448,0.21005806922912598,0.03409316807051213,False,entropy,63,sqrt,5,14,485,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 63, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 14, 'n_estimators': 485}",0.7024961793173714,0.7106469689251146,0.7182883341823739,0.7120285423037717,0.7079510703363915,0.7102822190130047,0.005164053367925552,3
1.2111948490142823,0.03969656823759989,0.11106438636779785,0.01014696662887407,False,entropy,34,log2,7,11,253,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 253}",0.6271013754457463,0.6367804381049414,0.6484971981660723,0.6320081549439348,0.6279306829765545,0.6344635699274499,0.007813068308067071,11
0.17552609443664552,0.015412870363220959,0.017432308197021483,0.005317709377069982,False,gini,22,sqrt,7,11,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 22, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 30}",0.6775343861436577,0.6724401426388181,0.6749872643912379,0.6722731906218145,0.6600407747196738,0.6714551517030404,0.006022629129553227,6
3.6080968379974365,0.6127638289499723,0.2696894645690918,0.05351498833823764,True,gini,37,sqrt,6,14,786,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 37, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 14, 'n_estimators': 786}",0.6999490575649516,0.7116658176260825,0.7187977585328579,0.709480122324159,0.7038735983690112,0.7087532708834123,0.006499666909769776,4
38.82980561256409,2.9410928360331536,0.42405123710632325,0.029400903163097583,False,gini,21,,11,12,952,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 21, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 12, 'n_estimators': 952}",0.6031584309730005,0.6051961283749363,0.5929699439633215,0.5973496432212029,0.6223241590214067,0.6041996611107735,0.010035973535438579,18
0.07758975028991699,0.009971422199063091,0.01650581359863281,0.002599147158338275,True,entropy,36,log2,12,8,11,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 36, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 11}",0.5476311767702496,0.5659704533876719,0.5308201732042792,0.4964322120285423,0.5382262996941896,0.5358160630169865,0.022937916410044994,20
2.7139680862426756,0.2960145570431857,0.20057616233825684,0.012857822980404937,False,entropy,73,log2,8,10,486,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 73, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 486}",0.6250636780438105,0.6281202241467142,0.6377992868059094,0.6248725790010193,0.6116207951070336,0.6254953126208974,0.008382771416134206,12
0.9611162185668946,0.05227158136937071,0.10471568107604981,0.004949683901952238,True,entropy,45,log2,14,8,279,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 8, 'n_estimators': 279}",0.5944982170147733,0.6026490066225165,0.6113092205807438,0.6019367991845056,0.5968399592252803,0.6014466405255638,0.005804455650180433,19
2.6384855270385743,0.2406311999727308,0.24776196479797363,0.012718783899167793,True,entropy,34,log2,11,13,711,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 13, 'n_estimators': 711}",0.6184411614875192,0.6118186449312277,0.6296484971981661,0.6100917431192661,0.6106014271151886,0.6161202947702735,0.00739870542446753,13
5.670165967941284,0.2280429545445695,0.40509586334228515,0.04063853637576898,False,gini,35,sqrt,6,9,801,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 9, 'n_estimators': 801}",0.7024961793173714,0.7045338767193072,0.7152317880794702,0.7048929663608563,0.6977573904179408,0.7049824401789893,0.005720859799859192,5
5.726959657669068,0.2150082501664615,0.41318345069885254,0.06727326853901364,False,gini,79,sqrt,13,5,866,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 79, 'max_features': 'sqrt', 'min_samples_leaf': 13, 'min_samples_split': 5, 'n_estimators': 866}",0.6321956189505858,0.6357615894039735,0.6500254712175242,0.6355759429153924,0.6314984709480123,0.6370114186870977,0.0067316082338306415,10
