mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.1533260345458984,0.34412377458075444,0.032813739776611325,0.003558872938395513,0.5749080237694725,0.9901428612819833,1,100,0.18952752369197307,7,514,30,"{'bagging_fraction': 0.5749080237694725, 'feature_fraction': 0.9901428612819833, 'lambda_l1': 1, 'lambda_l2': 100, 'learning_rate': 0.18952752369197307, 'max_depth': 7, 'min_data_in_leaf': 514, 'num_leaves': 30}",0.9166666666666666,0.9149621212121212,0.9160984848484849,0.9198863636363637,0.9085227272727273,0.9152272727272728,0.0037298586742700443,15
2.9594893932342528,0.5194727064597692,0.0387519359588623,0.0028942659572533695,0.5918497783931734,0.8667417222278044,1,100,0.24548647782429914,9,593,21,"{'bagging_fraction': 0.5918497783931734, 'feature_fraction': 0.8667417222278044, 'lambda_l1': 1, 'lambda_l2': 100, 'learning_rate': 0.24548647782429914, 'max_depth': 9, 'min_data_in_leaf': 593, 'num_leaves': 21}",0.9236742424242425,0.918939393939394,0.9210227272727273,0.9253787878787879,0.915530303030303,0.9209090909090909,0.0034770168916251408,10
2.616401481628418,0.09655330522551869,0.03397402763366699,0.005771449884003604,0.5363649934414201,0.8366809019706868,10,0.1,0.17871346474483568,9,644,36,"{'bagging_fraction': 0.5363649934414201, 'feature_fraction': 0.8366809019706868, 'lambda_l1': 10, 'lambda_l2': 0.1, 'learning_rate': 0.17871346474483568, 'max_depth': 9, 'min_data_in_leaf': 644, 'num_leaves': 36}",0.9202651515151515,0.9106060606060606,0.9168560606060606,0.9221590909090909,0.9117424242424242,0.9163257575757576,0.00455081754327867,13
2.7622122764587402,0.14002092322061513,0.026425743103027345,0.0013027720140410266,0.6049549320516778,0.8799721943430512,10,10,0.15495427649405374,7,474,38,"{'bagging_fraction': 0.6049549320516778, 'feature_fraction': 0.8799721943430512, 'lambda_l1': 10, 'lambda_l2': 10, 'learning_rate': 0.15495427649405374, 'max_depth': 7, 'min_data_in_leaf': 474, 'num_leaves': 38}",0.9174242424242425,0.9143939393939394,0.9164772727272728,0.9170454545454545,0.9077651515151515,0.9146212121212122,0.0035843021946011153,16
3.863569974899292,0.32624483972017504,0.03879966735839844,0.003948020888985144,0.5764923982534326,0.9966461771613577,0.01,1,0.22899106101044808,8,320,28,"{'bagging_fraction': 0.5764923982534326, 'feature_fraction': 0.9966461771613577, 'lambda_l1': 0.01, 'lambda_l2': 1, 'learning_rate': 0.22899106101044808, 'max_depth': 8, 'min_data_in_leaf': 320, 'num_leaves': 28}",0.9393939393939394,0.9375,0.9395833333333333,0.9414772727272728,0.934469696969697,0.9384848484848485,0.002369771563578363,1
2.827376890182495,0.2885467120838274,0.02698359489440918,0.002468603038120917,0.5130103185970559,0.9897771074506667,10,0.1,0.15781247538098742,7,352,21,"{'bagging_fraction': 0.5130103185970559, 'feature_fraction': 0.9897771074506667, 'lambda_l1': 10, 'lambda_l2': 0.1, 'learning_rate': 0.15781247538098742, 'max_depth': 7, 'min_data_in_leaf': 352, 'num_leaves': 21}",0.9214015151515151,0.9132575757575757,0.9231060606060606,0.928409090909091,0.9147727272727273,0.920189393939394,0.005566506653809519,11
2.7748312950134277,0.31861242684177143,0.034364509582519534,0.002393248083581246,0.6368466053024314,0.8880304987479203,10,100,0.22497923676042464,8,505,36,"{'bagging_fraction': 0.6368466053024314, 'feature_fraction': 0.8880304987479203, 'lambda_l1': 10, 'lambda_l2': 100, 'learning_rate': 0.22497923676042464, 'max_depth': 8, 'min_data_in_leaf': 505, 'num_leaves': 36}",0.9179924242424242,0.9115530303030303,0.9134469696969697,0.9162878787878788,0.906439393939394,0.9131439393939393,0.004024075274914927,17
2.5925305843353272,0.2493114074872536,0.025701189041137697,0.0015564565816430817,0.5517559963200034,0.9325044568707964,0.1,0.1,0.18515504917299874,6,490,37,"{'bagging_fraction': 0.5517559963200034, 'feature_fraction': 0.9325044568707964, 'lambda_l1': 0.1, 'lambda_l2': 0.1, 'learning_rate': 0.18515504917299874, 'max_depth': 6, 'min_data_in_leaf': 490, 'num_leaves': 37}",0.9261363636363636,0.9227272727272727,0.9289772727272727,0.9325757575757576,0.9232954545454546,0.9267424242424243,0.003671312483776798,7
3.1382367610931396,0.13505716391357306,0.036612510681152344,0.004136006793442267,0.6550265646722229,0.9878997883128379,10,10,0.10678409333658072,9,512,35,"{'bagging_fraction': 0.6550265646722229, 'feature_fraction': 0.9878997883128379, 'lambda_l1': 10, 'lambda_l2': 10, 'learning_rate': 0.10678409333658072, 'max_depth': 9, 'min_data_in_leaf': 512, 'num_leaves': 35}",0.9160984848484849,0.9053030303030303,0.9136363636363637,0.912689393939394,0.906060606060606,0.9107575757575758,0.004297865551781962,18
4.336174201965332,0.3369304676144733,0.042950439453125,0.003049445999217238,0.6494640220274762,0.907938426477816,0.1,0.01,0.14214017645310711,9,340,34,"{'bagging_fraction': 0.6494640220274762, 'feature_fraction': 0.907938426477816, 'lambda_l1': 0.1, 'lambda_l2': 0.01, 'learning_rate': 0.14214017645310711, 'max_depth': 9, 'min_data_in_leaf': 340, 'num_leaves': 34}",0.9346590909090909,0.9321969696969697,0.9346590909090909,0.9393939393939394,0.9314393939393939,0.9344696969696971,0.0027809325519663314,2
