mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.252185821533203,0.24373350699817975,0.07557139396667481,0.006068407938804477,0.1,0.8982714934301164,0.917173949330819,20,0.19921253948662176,5,3,264,0.6232334448672797,"{'alpha': 0.1, 'colsample_bytree': 0.8982714934301164, 'gamma': 0.917173949330819, 'lambda': 20, 'learning_rate': 0.19921253948662176, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 264, 'subsample': 0.6232334448672797}",0.930340909090909,0.93,0.9247727272727273,0.9286363636363636,0.9286363636363636,0.9284772727272728,0.0019781868315444373,4
18.788027143478395,0.2083706709669383,0.14134340286254882,0.0039029148878951233,1,0.6668543055695109,0.7143340896097039,5,0.055146123573950614,5,8,463,0.6849356442713105,"{'alpha': 1, 'colsample_bytree': 0.6668543055695109, 'gamma': 0.7143340896097039, 'lambda': 5, 'learning_rate': 0.055146123573950614, 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 463, 'subsample': 0.6849356442713105}",0.92125,0.9207954545454545,0.9170454545454545,0.9196590909090909,0.918409090909091,0.9194318181818183,0.0015464568942003736,9
4.333979845046997,0.06028397933572544,0.04506783485412598,0.004105461346841061,1,0.9961057796456088,3.0874075481385828,1,0.18118910790805948,7,9,98,0.8099098641033556,"{'alpha': 1, 'colsample_bytree': 0.9961057796456088, 'gamma': 3.0874075481385828, 'lambda': 1, 'learning_rate': 0.18118910790805948, 'max_depth': 7, 'min_child_weight': 9, 'n_estimators': 98, 'subsample': 0.8099098641033556}",0.9139772727272727,0.9127272727272727,0.9097727272727273,0.9120454545454545,0.9102272727272728,0.91175,0.0015640591394622705,14
7.15898494720459,0.06640190930573744,0.0646547794342041,0.0019076902643856179,0.1,0.569746930326021,1.4607232426760908,5,0.14561549781679067,7,9,180,0.9439761626945282,"{'alpha': 0.1, 'colsample_bytree': 0.569746930326021, 'gamma': 1.4607232426760908, 'lambda': 5, 'learning_rate': 0.14561549781679067, 'max_depth': 7, 'min_child_weight': 9, 'n_estimators': 180, 'subsample': 0.9439761626945282}",0.9264772727272728,0.925340909090909,0.9235227272727272,0.9236363636363636,0.9231818181818182,0.9244318181818182,0.0012674403175998925,5
14.516632223129273,0.1805439687920734,0.15217080116271972,0.006582752610132411,0.1,0.5852620618436457,0.3252579649263976,10,0.2855504389212132,9,2,314,0.6063865008880857,"{'alpha': 0.1, 'colsample_bytree': 0.5852620618436457, 'gamma': 0.3252579649263976, 'lambda': 10, 'learning_rate': 0.2855504389212132, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 314, 'subsample': 0.6063865008880857}",0.9434090909090909,0.9469318181818182,0.9428409090909091,0.9452272727272727,0.9445454545454546,0.944590909090909,0.0014384765816769572,3
12.259813261032104,0.3625373174189652,0.05685091018676758,0.002977393030047613,0.01,0.8421165132560784,2.2007624686980067,10,0.17379422752781754,6,1,469,0.672894435115225,"{'alpha': 0.01, 'colsample_bytree': 0.8421165132560784, 'gamma': 2.2007624686980067, 'lambda': 10, 'learning_rate': 0.17379422752781754, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 469, 'subsample': 0.672894435115225}",0.9164772727272728,0.9205681818181818,0.9221590909090909,0.920340909090909,0.9165909090909091,0.9192272727272727,0.002286774768746381,10
7.842247772216797,0.18789154101057726,0.05040388107299805,0.005759469814266041,1,0.6558555380447055,2.600340105889054,1,0.19192508195499786,8,2,267,0.7799016533479063,"{'alpha': 1, 'colsample_bytree': 0.6558555380447055, 'gamma': 2.600340105889054, 'lambda': 1, 'learning_rate': 0.19192508195499786, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 267, 'subsample': 0.7799016533479063}",0.9223863636363636,0.9230681818181818,0.9197727272727273,0.9219318181818181,0.9185227272727273,0.9211363636363636,0.00170984026125489,7
15.663418340682984,0.16400981419710722,0.10937285423278809,0.0023767379301826916,0.01,0.9474136752138245,2.9894998940554256,10,0.06130682222763452,8,2,416,0.9314950036607718,"{'alpha': 0.01, 'colsample_bytree': 0.9474136752138245, 'gamma': 2.9894998940554256, 'lambda': 10, 'learning_rate': 0.06130682222763452, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 416, 'subsample': 0.9314950036607718}",0.9168181818181819,0.9147727272727273,0.9130681818181818,0.9165909090909091,0.9146590909090909,0.9151818181818182,0.0013835664777476857,12
12.87920846939087,0.171943847862379,0.08303117752075195,0.0058062075481901156,0.01,0.982627653632069,3.0351712384334233,20,0.08523105624369066,8,1,394,0.9947547746402069,"{'alpha': 0.01, 'colsample_bytree': 0.982627653632069, 'gamma': 3.0351712384334233, 'lambda': 20, 'learning_rate': 0.08523105624369066, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 394, 'subsample': 0.9947547746402069}",0.91125,0.9111363636363636,0.9085227272727273,0.9098863636363637,0.9101136363636364,0.9101818181818182,0.0009896155025944044,16
11.643750429153442,0.3089036559863071,0.07895398139953613,0.003197151243545436,1,0.6974407590877849,1.4674408735901907,5,0.09971060102220129,6,3,338,0.8423839899124046,"{'alpha': 1, 'colsample_bytree': 0.6974407590877849, 'gamma': 1.4674408735901907, 'lambda': 5, 'learning_rate': 0.09971060102220129, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 338, 'subsample': 0.8423839899124046}",0.9223863636363636,0.9240909090909091,0.9230681818181818,0.9240909090909091,0.9226136363636364,0.92325,0.0007208523421433472,6
