mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24.880921506881712,0.7319232726011047,0.2121662139892578,0.010782282398975176,True,entropy,48,,12,9,624,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 48, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 9, 'n_estimators': 624}",0.8863636363636364,0.86875,0.8846590909090909,0.8857954545454545,0.8676136363636363,0.8786363636363635,0.008561276455380617,15
6.004511737823487,0.3261669695866815,0.048868751525878905,0.01677593502026843,False,gini,42,,12,9,109,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 42, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 9, 'n_estimators': 109}",0.8352272727272727,0.83125,0.8579545454545454,0.85,0.8284090909090909,0.8405681818181818,0.011440648135139278,20
2.4965086460113524,0.29649935392832283,0.13439316749572755,0.024222436571440187,False,entropy,22,log2,9,6,353,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 22, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 353}",0.9113636363636364,0.9125,0.9278409090909091,0.91875,0.9164772727272728,0.9173863636363635,0.005867423019738906,9
3.20379524230957,0.07588981253499104,0.16131443977355958,0.0077687652208333026,False,entropy,57,log2,9,5,469,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 57, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 469}",0.9125,0.9136363636363637,0.9278409090909091,0.9170454545454545,0.9147727272727273,0.917159090909091,0.0055484343707880475,10
4.367621326446534,0.17360994585614428,0.16303329467773436,0.011011894415876319,False,entropy,63,sqrt,5,14,485,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 63, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 14, 'n_estimators': 485}",0.9380681818181819,0.9340909090909091,0.9528409090909091,0.9420454545454545,0.9340909090909091,0.9402272727272727,0.006962488037291099,1
1.6407424449920653,0.10944814512060572,0.09024457931518555,0.011160399129284808,False,entropy,34,log2,7,11,253,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 253}",0.9193181818181818,0.9198863636363637,0.9340909090909091,0.9289772727272727,0.9227272727272727,0.925,0.005693170477216058,4
0.21749253273010255,0.011825631807103026,0.023189401626586913,0.007124903754781456,False,gini,22,sqrt,7,11,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 22, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 30}",0.9261363636363636,0.9204545454545454,0.9329545454545455,0.9238636363636363,0.915340909090909,0.9237500000000001,0.0058652217729836375,6
4.211456298828125,0.48170494346006315,0.25058770179748535,0.04902094451923549,True,gini,37,sqrt,6,14,786,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 37, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 14, 'n_estimators': 786}",0.9244318181818182,0.9193181818181818,0.93125,0.9244318181818182,0.9210227272727273,0.9240909090909091,0.004090909090909101,5
50.24758014678955,4.6085236441009565,0.31563429832458495,0.03202588062432244,False,gini,21,,11,12,952,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 21, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 12, 'n_estimators': 952}",0.8329545454545455,0.8403409090909091,0.8613636363636363,0.8494318181818182,0.8335227272727272,0.8435227272727273,0.010724046124912743,19
0.0860605239868164,0.006113732559729242,0.015373802185058594,0.001145915863515091,True,entropy,36,log2,12,8,11,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 36, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 11}",0.8482954545454545,0.8522727272727273,0.8613636363636363,0.852840909090909,0.8357954545454546,0.8501136363636365,0.008330405821868735,18
3.4203420639038087,0.16767981059392756,0.17663979530334473,0.013167708719999048,False,entropy,73,log2,8,10,486,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 73, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 486}",0.9159090909090909,0.9164772727272728,0.9306818181818182,0.91875,0.91875,0.9201136363636364,0.00540937737973268,7
1.2936933517456055,0.08013470149419319,0.09056882858276367,0.02692932187598337,True,entropy,45,log2,14,8,279,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 8, 'n_estimators': 279}",0.8710227272727272,0.8721590909090909,0.8801136363636364,0.8801136363636364,0.8727272727272727,0.8752272727272727,0.004027282987879414,17
3.371106576919556,0.20276149708428207,0.23795104026794434,0.017308091348869965,True,entropy,34,log2,11,13,711,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 13, 'n_estimators': 711}",0.8892045454545454,0.8846590909090909,0.8977272727272727,0.897159090909091,0.8857954545454545,0.890909090909091,0.005543777689841144,14
