mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5006592273712158,0.025425131517100828,0.015322113037109375,0.0039403793218303115,0.1,0.8982714934301164,0.917173949330819,20,0.19921253948662176,5,3,264,0.6232334448672797,"{'alpha': 0.1, 'colsample_bytree': 0.8982714934301164, 'gamma': 0.917173949330819, 'lambda': 20, 'learning_rate': 0.19921253948662176, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 264, 'subsample': 0.6232334448672797}",0.6922554347826086,0.7146739130434783,0.6922554347826086,0.6936141304347826,0.7282608695652174,0.7042119565217391,0.0147379340126187,5
2.856750965118408,0.04361788497013296,0.026280784606933595,0.0005407984171327124,1,0.6668543055695109,0.7143340896097039,5,0.055146123573950614,5,8,463,0.6849356442713105,"{'alpha': 1, 'colsample_bytree': 0.6668543055695109, 'gamma': 0.7143340896097039, 'lambda': 5, 'learning_rate': 0.055146123573950614, 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 463, 'subsample': 0.6849356442713105}",0.6847826086956522,0.701766304347826,0.6881793478260869,0.6929347826086957,0.7099184782608695,0.6955163043478262,0.009189042618973298,6
0.4822552680969238,0.008833600445510806,0.005085897445678711,0.00035938727879247366,1,0.9961057796456088,3.0874075481385828,1,0.18118910790805948,7,9,98,0.8099098641033556,"{'alpha': 1, 'colsample_bytree': 0.9961057796456088, 'gamma': 3.0874075481385828, 'lambda': 1, 'learning_rate': 0.18118910790805948, 'max_depth': 7, 'min_child_weight': 9, 'n_estimators': 98, 'subsample': 0.8099098641033556}",0.6535326086956522,0.6582880434782609,0.6501358695652174,0.6630434782608695,0.6671195652173914,0.6584239130434784,0.006157754996535136,15
0.8698178768157959,0.030662634273264044,0.0075473785400390625,0.00016281206583049383,0.1,0.569746930326021,1.4607232426760908,5,0.14561549781679067,7,9,180,0.9439761626945282,"{'alpha': 0.1, 'colsample_bytree': 0.569746930326021, 'gamma': 1.4607232426760908, 'lambda': 5, 'learning_rate': 0.14561549781679067, 'max_depth': 7, 'min_child_weight': 9, 'n_estimators': 180, 'subsample': 0.9439761626945282}",0.673233695652174,0.6800271739130435,0.6800271739130435,0.6827445652173914,0.6942934782608695,0.6820652173913044,0.006874516652539931,7
1.8780834674835205,0.026063654796102932,0.020648765563964843,0.0007005058616217048,0.1,0.5852620618436457,0.3252579649263976,10,0.2855504389212132,9,2,314,0.6063865008880857,"{'alpha': 0.1, 'colsample_bytree': 0.5852620618436457, 'gamma': 0.3252579649263976, 'lambda': 10, 'learning_rate': 0.2855504389212132, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 314, 'subsample': 0.6063865008880857}",0.7561141304347826,0.748641304347826,0.7554347826086957,0.7350543478260869,0.7615489130434783,0.7513586956521738,0.009124529016511332,2
1.88330397605896,0.02117515464323611,0.008882856369018555,0.0006950300885698704,0.01,0.8421165132560784,2.2007624686980067,10,0.17379422752781754,6,1,469,0.672894435115225,"{'alpha': 0.01, 'colsample_bytree': 0.8421165132560784, 'gamma': 2.2007624686980067, 'lambda': 10, 'learning_rate': 0.17379422752781754, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 469, 'subsample': 0.672894435115225}",0.6752717391304348,0.6834239130434783,0.670516304347826,0.6766304347826086,0.6881793478260869,0.6788043478260869,0.006247045615528612,10
1.0552494049072265,0.021678867406088435,0.006012058258056641,0.0003116450442944056,1,0.6558555380447055,2.600340105889054,1,0.19192508195499786,8,2,267,0.7799016533479063,"{'alpha': 1, 'colsample_bytree': 0.6558555380447055, 'gamma': 2.600340105889054, 'lambda': 1, 'learning_rate': 0.19192508195499786, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 267, 'subsample': 0.7799016533479063}",0.6616847826086957,0.6671195652173914,0.6684782608695652,0.6691576086956522,0.6711956521739131,0.6675271739130435,0.0032037570985194567,11
1.7135701656341553,0.024532199409576856,0.012373113632202148,0.0005742819469402398,0.01,0.9474136752138245,2.9894998940554256,10,0.06130682222763452,8,2,416,0.9314950036607718,"{'alpha': 0.01, 'colsample_bytree': 0.9474136752138245, 'gamma': 2.9894998940554256, 'lambda': 10, 'learning_rate': 0.06130682222763452, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 416, 'subsample': 0.9314950036607718}",0.6589673913043478,0.6623641304347826,0.6474184782608695,0.65625,0.671875,0.659375,0.007975902239912609,14
1.5061314105987549,0.03421186236015102,0.008213043212890625,0.0006282590592840794,0.01,0.982627653632069,3.0351712384334233,20,0.08523105624369066,8,1,394,0.9947547746402069,"{'alpha': 0.01, 'colsample_bytree': 0.982627653632069, 'gamma': 3.0351712384334233, 'lambda': 20, 'learning_rate': 0.08523105624369066, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 394, 'subsample': 0.9947547746402069}",0.6494565217391305,0.6589673913043478,0.6447010869565217,0.6426630434782609,0.6650815217391305,0.6521739130434783,0.00856086087066488,17
1.4602905750274657,0.02617346802265498,0.011033391952514649,0.0012398073082571502,1,0.6974407590877849,1.4674408735901907,5,0.09971060102220129,6,3,338,0.8423839899124046,"{'alpha': 1, 'colsample_bytree': 0.6974407590877849, 'gamma': 1.4674408735901907, 'lambda': 5, 'learning_rate': 0.09971060102220129, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 338, 'subsample': 0.8423839899124046}",0.6793478260869565,0.6807065217391305,0.673233695652174,0.6793478260869565,0.6895380434782609,0.6804347826086956,0.005237591105270744,8
