mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.60133810043335,0.17208554536984244,0.08302326202392578,0.022459256311460396,0.5749080237694725,0.9901428612819833,1,100,0.18952752369197307,7,514,30,"{'bagging_fraction': 0.5749080237694725, 'feature_fraction': 0.9901428612819833, 'lambda_l1': 1, 'lambda_l2': 100, 'learning_rate': 0.18952752369197307, 'max_depth': 7, 'min_data_in_leaf': 514, 'num_leaves': 30}",0.9151136363636364,0.915,0.9190909090909091,0.9195454545454546,0.9152272727272728,0.9167954545454545,0.0020660578504297063,16
4.759590721130371,0.09425197852394133,0.08970575332641602,0.02030774041300685,0.5918497783931734,0.8667417222278044,1,100,0.24548647782429914,9,593,21,"{'bagging_fraction': 0.5918497783931734, 'feature_fraction': 0.8667417222278044, 'lambda_l1': 1, 'lambda_l2': 100, 'learning_rate': 0.24548647782429914, 'max_depth': 9, 'min_data_in_leaf': 593, 'num_leaves': 21}",0.9209090909090909,0.9205681818181818,0.9265909090909091,0.9268181818181818,0.9220454545454545,0.9233863636363637,0.0027540353563093012,10
4.611033773422241,0.15808357075548435,0.07451815605163574,0.005257087171906129,0.5363649934414201,0.8366809019706868,10,0.1,0.17871346474483568,9,644,36,"{'bagging_fraction': 0.5363649934414201, 'feature_fraction': 0.8366809019706868, 'lambda_l1': 10, 'lambda_l2': 0.1, 'learning_rate': 0.17871346474483568, 'max_depth': 9, 'min_data_in_leaf': 644, 'num_leaves': 36}",0.9192045454545454,0.918409090909091,0.9255681818181818,0.9267045454545455,0.9215909090909091,0.9222954545454545,0.0033258007176051796,11
4.464018964767456,0.3748161167223316,0.05961699485778808,0.0026949869092637393,0.6049549320516778,0.8799721943430512,10,10,0.15495427649405374,7,474,38,"{'bagging_fraction': 0.6049549320516778, 'feature_fraction': 0.8799721943430512, 'lambda_l1': 10, 'lambda_l2': 10, 'learning_rate': 0.15495427649405374, 'max_depth': 7, 'min_data_in_leaf': 474, 'num_leaves': 38}",0.9180681818181818,0.9164772727272728,0.9207954545454545,0.9193181818181818,0.9159090909090909,0.9181136363636364,0.0017990470388330204,14
5.550774192810058,0.11762528986149039,0.072758150100708,0.007883306007349464,0.5764923982534326,0.9966461771613577,0.01,1,0.22899106101044808,8,320,28,"{'bagging_fraction': 0.5764923982534326, 'feature_fraction': 0.9966461771613577, 'lambda_l1': 0.01, 'lambda_l2': 1, 'learning_rate': 0.22899106101044808, 'max_depth': 8, 'min_data_in_leaf': 320, 'num_leaves': 28}",0.935,0.9365909090909091,0.9376136363636364,0.9386363636363636,0.9346590909090909,0.9365,0.0015133701649623823,1
4.115113162994385,0.1320099570689718,0.08039040565490722,0.026642297741035548,0.5130103185970559,0.9897771074506667,10,0.1,0.15781247538098742,7,352,21,"{'bagging_fraction': 0.5130103185970559, 'feature_fraction': 0.9897771074506667, 'lambda_l1': 10, 'lambda_l2': 0.1, 'learning_rate': 0.15781247538098742, 'max_depth': 7, 'min_data_in_leaf': 352, 'num_leaves': 21}",0.9209090909090909,0.91875,0.9235227272727272,0.9247727272727273,0.9209090909090909,0.9217727272727274,0.002130310573718284,12
5.104904985427856,0.42522623214386107,0.07832317352294922,0.022877452898594434,0.6368466053024314,0.8880304987479203,10,100,0.22497923676042464,8,505,36,"{'bagging_fraction': 0.6368466053024314, 'feature_fraction': 0.8880304987479203, 'lambda_l1': 10, 'lambda_l2': 100, 'learning_rate': 0.22497923676042464, 'max_depth': 8, 'min_data_in_leaf': 505, 'num_leaves': 36}",0.9159090909090909,0.9164772727272728,0.9193181818181818,0.9196590909090909,0.9145454545454546,0.9171818181818182,0.001988344134372675,15
4.300728988647461,0.15914522580404103,0.053296232223510744,0.007883025681666843,0.5517559963200034,0.9325044568707964,0.1,0.1,0.18515504917299874,6,490,37,"{'bagging_fraction': 0.5517559963200034, 'feature_fraction': 0.9325044568707964, 'lambda_l1': 0.1, 'lambda_l2': 0.1, 'learning_rate': 0.18515504917299874, 'max_depth': 6, 'min_data_in_leaf': 490, 'num_leaves': 37}",0.923409090909091,0.9242045454545454,0.9267045454545455,0.930340909090909,0.9261363636363636,0.9261590909090909,0.0024153007444105822,7
5.473256683349609,0.17599679455776154,0.07674832344055176,0.010347322151204022,0.6550265646722229,0.9878997883128379,10,10,0.10678409333658072,9,512,35,"{'bagging_fraction': 0.6550265646722229, 'feature_fraction': 0.9878997883128379, 'lambda_l1': 10, 'lambda_l2': 10, 'learning_rate': 0.10678409333658072, 'max_depth': 9, 'min_data_in_leaf': 512, 'num_leaves': 35}",0.9143181818181818,0.913409090909091,0.9180681818181818,0.9197727272727273,0.9148863636363637,0.9160909090909091,0.002418720035797912,17
6.973572540283203,0.5333121222325337,0.09116616249084472,0.005456988664863784,0.6494640220274762,0.907938426477816,0.1,0.01,0.14214017645310711,9,340,34,"{'bagging_fraction': 0.6494640220274762, 'feature_fraction': 0.907938426477816, 'lambda_l1': 0.1, 'lambda_l2': 0.01, 'learning_rate': 0.14214017645310711, 'max_depth': 9, 'min_data_in_leaf': 340, 'num_leaves': 34}",0.9336363636363636,0.9340909090909091,0.9325,0.9361363636363637,0.9344318181818182,0.9341590909090909,0.0011844376564359557,2
6.769206190109253,0.5773173686065415,0.09389266967773438,0.0021239723961276927,0.5330533878126005,0.8031272813482389,0.01,0.01,0.12980735223012585,9,362,30,"{'bagging_fraction': 0.5330533878126005, 'feature_fraction': 0.8031272813482389, 'lambda_l1': 0.01, 'lambda_l2': 0.01, 'learning_rate': 0.12980735223012585, 'max_depth': 9, 'min_data_in_leaf': 362, 'num_leaves': 30}",0.9280681818181818,0.9282954545454546,0.9275,0.9342045454545455,0.9307954545454545,0.9297727272727274,0.002487572416820378,5
5.324407720565796,0.34634363602842466,0.06918082237243653,0.005745780584910802,0.5397684808177611,0.94226839054973,1,0.01,0.1908939962171517,7,530,28,"{'bagging_fraction': 0.5397684808177611, 'feature_fraction': 0.94226839054973, 'lambda_l1': 1, 'lambda_l2': 0.01, 'learning_rate': 0.1908939962171517, 'max_depth': 7, 'min_data_in_leaf': 530, 'num_leaves': 28}",0.9268181818181818,0.9268181818181818,0.9307954545454545,0.9340909090909091,0.9306818181818182,0.929840909090909,0.002755160447398518,4
5.3009806156158445,0.4631713182345409,0.07529659271240234,0.004580223898134831,0.6829919351087561,0.97000771555796,10,0.1,0.1143115174735617,8,361,24,"{'bagging_fraction': 0.6829919351087561, 'feature_fraction': 0.97000771555796, 'lambda_l1': 10, 'lambda_l2': 0.1, 'learning_rate': 0.1143115174735617, 'max_depth': 8, 'min_data_in_leaf': 361, 'num_leaves': 24}",0.9176136363636364,0.9159090909090909,0.9194318181818182,0.9220454545454545,0.9180681818181818,0.9186136363636364,0.002052261401358045,13
