mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.129362869262695,0.15749059102020624,0.08938436508178711,0.012248247328140687,0.749816047538945,0.9802857225639665,0.15639878836228102,7,714,26,"{'bagging_fraction': 0.749816047538945, 'feature_fraction': 0.9802857225639665, 'learning_rate': 0.15639878836228102, 'max_depth': 7, 'min_data_in_leaf': 714, 'num_leaves': 26}",0.9160359991818368,0.9178768664348538,0.9161382695847822,0.9123542646758028,0.9156269175700552,0.9156064634894662,0.0017999590918388255,3
1.9846366405487061,0.22604032314777361,0.09011178016662598,0.034598892256186,0.6399899663272012,0.7836995567863468,0.07674172222780437,10,763,10,"{'bagging_fraction': 0.6399899663272012, 'feature_fraction': 0.7836995567863468, 'learning_rate': 0.07674172222780437, 'max_depth': 10, 'min_data_in_leaf': 763, 'num_leaves': 10}",0.8742074043771733,0.8772755164655349,0.8736960523624463,0.8736960523624463,0.8766618940478625,0.8751073839230926,0.0015434362429874143,8
3.5534472465515137,0.18258326310401937,0.10317249298095703,0.03218247141651527,0.608233797718321,0.9879639408647978,0.17648852816008437,8,485,28,"{'bagging_fraction': 0.608233797718321, 'feature_fraction': 0.9879639408647978, 'learning_rate': 0.17648852816008437, 'max_depth': 8, 'min_data_in_leaf': 485, 'num_leaves': 28}",0.9278993659235018,0.9317856412354265,0.926365309879321,0.924013090611577,0.9276948251176109,0.9275516465534874,0.0025296992978098413,1
4.305507850646973,0.2851040201135817,0.15816802978515626,0.06954677474701469,0.8469926038510867,0.8446612641953124,0.011413261043943482,11,660,34,"{'bagging_fraction': 0.8469926038510867, 'feature_fraction': 0.8446612641953124, 'learning_rate': 0.011413261043943482, 'max_depth': 11, 'min_data_in_leaf': 660, 'num_leaves': 34}",0.8117201881775414,0.810288402536306,0.8087543464921252,0.8099815913274698,0.8135610554305583,0.8108611167928,0.001647283828324868,10
2.452117156982422,0.38778793036477743,0.060489654541015625,0.017258695187318897,0.8447411578889518,0.6557975442608167,0.06842892970704363,5,975,59,"{'bagging_fraction': 0.8447411578889518, 'feature_fraction': 0.6557975442608167, 'learning_rate': 0.06842892970704363, 'max_depth': 5, 'min_data_in_leaf': 975, 'num_leaves': 59}",0.8594804663530374,0.8589691143383105,0.8566168950705666,0.8585600327265289,0.8609122519942729,0.8589077520965432,0.0013941823021437567,9
3.2188432216644287,0.12827421175958062,0.08008193969726562,0.019523455813303295,0.836965827544817,0.6185801650879991,0.1315089703802877,7,940,46,"{'bagging_fraction': 0.836965827544817, 'feature_fraction': 0.6185801650879991, 'learning_rate': 0.1315089703802877, 'max_depth': 7, 'min_data_in_leaf': 940, 'num_leaves': 46}",0.9047862548578441,0.9062180404990796,0.9033544692166087,0.9047862548578441,0.904990795663735,0.9048271630190223,0.0009092293217792441,5
2.020602560043335,0.20142982028104744,0.11751255989074708,0.030060030658590062,0.6053059844639466,0.9768807022739411,0.12265764356910785,11,445,9,"{'bagging_fraction': 0.6053059844639466, 'feature_fraction': 0.9768807022739411, 'learning_rate': 0.12265764356910785, 'max_depth': 11, 'min_data_in_leaf': 445, 'num_leaves': 9}",0.8955819185927593,0.8965023522192678,0.8929228881161791,0.8939455921456331,0.8975250562487216,0.8952955614645122,0.0016709869720188274,6
3.7604820251464846,0.39524810721814035,0.09089279174804688,0.002416116310885389,0.8736932106048627,0.7760609974958406,0.03440764696895577,10,134,21,"{'bagging_fraction': 0.8736932106048627, 'feature_fraction': 0.7760609974958406, 'learning_rate': 0.03440764696895577, 'max_depth': 10, 'min_data_in_leaf': 134, 'num_leaves': 21}",0.8777868684802618,0.8773777868684802,0.8742074043771733,0.8715483739005931,0.8748210267948455,0.8751482920842708,0.002275280886681935,7
3.798823833465576,0.19047446383436048,0.08725442886352539,0.012869511134706453,0.7564242430292963,0.672894435115225,0.16107228206353053,8,665,49,"{'bagging_fraction': 0.7564242430292963, 'feature_fraction': 0.672894435115225, 'learning_rate': 0.16107228206353053, 'max_depth': 8, 'min_data_in_leaf': 665, 'num_leaves': 49}",0.9207404377173246,0.9248312538351401,0.9183882184495807,0.9179791368377992,0.9210472489261607,0.920597259153201,0.002444754676949708,2
1.9352179050445557,0.06135745936993905,0.032152318954467775,0.0019156012136129805,0.8270801311279966,0.6125253169822235,0.1784569549189997,4,301,43,"{'bagging_fraction': 0.8270801311279966, 'feature_fraction': 0.6125253169822235, 'learning_rate': 0.1784569549189997, 'max_depth': 4, 'min_data_in_leaf': 301, 'num_leaves': 43}",0.9067293925138065,0.9086725301697689,0.9020249539783187,0.9037635508283902,0.9077520965432604,0.9057885048067089,0.002502930999135974,4
