mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.724937868118286,0.1812004337137614,0.03546671867370606,0.016973575749814587,0.749816047538945,0.9802857225639665,0.15639878836228102,7,714,26,"{'bagging_fraction': 0.749816047538945, 'feature_fraction': 0.9802857225639665, 'learning_rate': 0.15639878836228102, 'max_depth': 7, 'min_data_in_leaf': 714, 'num_leaves': 26}",0.9217591408846842,0.9169010483252366,0.9125543339299412,0.9112758885195602,0.9294298133469701,0.9183840450012785,0.006634922297267415,3
1.3957310676574708,0.167879457131415,0.029531383514404298,0.001577982090362997,0.6399899663272012,0.7836995567863468,0.07674172222780437,10,763,10,"{'bagging_fraction': 0.6399899663272012, 'feature_fraction': 0.7836995567863468, 'learning_rate': 0.07674172222780437, 'max_depth': 10, 'min_data_in_leaf': 763, 'num_leaves': 10}",0.892610585527998,0.8928662746100742,0.8903093837893122,0.8862183584760931,0.9066734850421887,0.8937356174891333,0.0068943184030080045,8
2.0164567947387697,0.3718765294922542,0.03148036003112793,0.00339579862732287,0.608233797718321,0.9879639408647978,0.17648852816008437,8,485,28,"{'bagging_fraction': 0.608233797718321, 'feature_fraction': 0.9879639408647978, 'learning_rate': 0.17648852816008437, 'max_depth': 8, 'min_data_in_leaf': 485, 'num_leaves': 28}",0.9335208386601892,0.9307082587573511,0.9284070570186653,0.9253387880337509,0.9396573766300179,0.9315264638199949,0.004873946328793203,1
2.0716432094573975,0.24927917057489996,0.06453766822814941,0.027481158631368945,0.8469926038510867,0.8446612641953124,0.011413261043943482,11,660,34,"{'bagging_fraction': 0.8469926038510867, 'feature_fraction': 0.8446612641953124, 'learning_rate': 0.011413261043943482, 'max_depth': 11, 'min_data_in_leaf': 660, 'num_leaves': 34}",0.8161595499872155,0.8095116338532344,0.8031194068013295,0.8038864740475582,0.8187164408079775,0.8102787010994632,0.006300544241886539,10
1.187272071838379,0.10584135541244108,0.02158780097961426,0.0028252757245049646,0.8447411578889518,0.6557975442608167,0.06842892970704363,5,975,59,"{'bagging_fraction': 0.8447411578889518, 'feature_fraction': 0.6557975442608167, 'learning_rate': 0.06842892970704363, 'max_depth': 5, 'min_data_in_leaf': 975, 'num_leaves': 59}",0.8685758118128356,0.866530299156226,0.8626949629250831,0.8588596266939401,0.8772692406034263,0.8667859882383022,0.00620856055669701,9
1.5875332832336426,0.06611180810358136,0.03247313499450684,0.004283621060278955,0.836965827544817,0.6185801650879991,0.1315089703802877,7,940,46,"{'bagging_fraction': 0.836965827544817, 'feature_fraction': 0.6185801650879991, 'learning_rate': 0.1315089703802877, 'max_depth': 7, 'min_data_in_leaf': 940, 'num_leaves': 46}",0.9043722833035029,0.9025824597289696,0.9020710815648172,0.90053694707236,0.9161339810790079,0.9051393505497314,0.005632128827311011,6
1.243068027496338,0.046850582034341004,0.03701705932617187,0.010292656330202713,0.6053059844639466,0.9768807022739411,0.12265764356910785,11,445,9,"{'bagging_fraction': 0.6053059844639466, 'feature_fraction': 0.9768807022739411, 'learning_rate': 0.12265764356910785, 'max_depth': 11, 'min_data_in_leaf': 445, 'num_leaves': 9}",0.9163896701610841,0.9084633086167221,0.9064177959601125,0.9066734850421887,0.9189465609818461,0.9113781641523907,0.005246550561464837,5
2.6018727302551268,0.1491918014150067,0.04666495323181152,0.020007021001573883,0.8736932106048627,0.7760609974958406,0.03440764696895577,10,134,21,"{'bagging_fraction': 0.8736932106048627, 'feature_fraction': 0.7760609974958406, 'learning_rate': 0.03440764696895577, 'max_depth': 10, 'min_data_in_leaf': 134, 'num_leaves': 21}",0.9053950396318077,0.9061621068780363,0.8961902326770647,0.8949117872666837,0.9169010483252366,0.9039120429557658,0.00795747803933763,7
1.9590468406677246,0.23691559573356227,0.03460073471069336,0.004998170130672529,0.7564242430292963,0.672894435115225,0.16107228206353053,8,665,49,"{'bagging_fraction': 0.7564242430292963, 'feature_fraction': 0.672894435115225, 'learning_rate': 0.16107228206353053, 'max_depth': 8, 'min_data_in_leaf': 665, 'num_leaves': 49}",0.9215034518026081,0.9204806954743032,0.9184351828176937,0.9140884684223983,0.933265149578113,0.9215545896190231,0.006383834941171984,2
1.1677679061889648,0.12707215017108348,0.016098594665527342,0.002148199406890733,0.8270801311279966,0.6125253169822235,0.1784569549189997,4,301,43,"{'bagging_fraction': 0.8270801311279966, 'feature_fraction': 0.6125253169822235, 'learning_rate': 0.1784569549189997, 'max_depth': 4, 'min_data_in_leaf': 301, 'num_leaves': 43}",0.9171567374073127,0.9130657120940936,0.9133214011761698,0.9138327793403221,0.9281513679365891,0.9171055995908975,0.005716009349964146,4
