mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.7944669246673586,0.06909259326234496,0.03078017234802246,0.004605602712972782,0.6872700594236812,4.75357153204958,0.2329984854528513,7,7,171,0.662397808134481,"{'colsample_bytree': 0.6872700594236812, 'gamma': 4.75357153204958, 'learning_rate': 0.2329984854528513, 'max_depth': 7, 'min_child_weight': 7, 'n_estimators': 171, 'subsample': 0.662397808134481}",0.9068013295832268,0.9037330605983125,0.9052671950907696,0.9000255689082076,0.9102531321912555,0.9052160572743544,0.0033772259535978857,8
4.923597383499145,0.26169742115706485,0.04020457267761231,0.0015096236037310917,0.5290418060840998,4.330880728874676,0.20027875293580222,10,3,199,0.6225646316108401,"{'colsample_bytree': 0.5290418060840998, 'gamma': 4.330880728874676, 'learning_rate': 0.20027875293580222, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 199, 'subsample': 0.6225646316108401}",0.9169010483252366,0.9116594221426745,0.9117872666837126,0.9061621068780363,0.9181794937356175,0.9129378675530555,0.0042907035465922835,5
12.648834419250488,0.4780036484158086,0.09139900207519532,0.0017789754361724021,0.8609993861334124,4.692763545078751,0.050194691460253585,7,1,363,0.8099025726528951,"{'colsample_bytree': 0.8609993861334124, 'gamma': 4.692763545078751, 'learning_rate': 0.050194691460253585, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 363, 'subsample': 0.8099025726528951}",0.9157504474558936,0.9089746867808745,0.9071848632063411,0.9042444387624649,0.9103809767322936,0.9093070825875735,0.0038187658748518863,7
7.597000646591186,0.2900897947447817,0.045995044708251956,0.013978189070879344,0.7159725093210578,1.4561457009902097,0.20296322368059488,5,7,293,0.836965827544817,"{'colsample_bytree': 0.7159725093210578, 'gamma': 1.4561457009902097, 'learning_rate': 0.20296322368059488, 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 293, 'subsample': 0.836965827544817}",0.927895678854513,0.9216312963436462,0.9206085400153413,0.9203528509332651,0.9261058552799796,0.923318844285349,0.003088868039067356,3
11.195011854171753,0.2499138705761515,0.07954263687133789,0.002575180552753,0.5232252063599989,3.0377242595071916,0.09263103092182289,9,2,437,0.9768807022739411,"{'colsample_bytree': 0.5232252063599989, 'gamma': 3.0377242595071916, 'learning_rate': 0.09263103092182289, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 437, 'subsample': 0.9768807022739411}",0.9286627461007415,0.9241881871644081,0.9226540526719509,0.9183073382766556,0.9268729225262081,0.9241370493479929,0.003582020617969955,2
5.0261866569519045,0.16601689496834074,0.02895965576171875,0.0014401153097249768,0.7816441089227697,1.9270825126995805,0.05399156305505355,4,4,141,0.7760609974958406,"{'colsample_bytree': 0.7816441089227697, 'gamma': 1.9270825126995805, 'learning_rate': 0.05399156305505355, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 141, 'subsample': 0.7760609974958406}",0.8607772948095116,0.861160828432626,0.8578368703656354,0.8556635131679877,0.8671695218614165,0.8605216057274354,0.003885296353613984,9
2.6512874126434327,0.1135878398923044,0.015971279144287108,0.002122171674854466,0.5610191174223894,2.475884550556351,0.0585971302788046,3,4,99,0.8650089137415928,"{'colsample_bytree': 0.5610191174223894, 'gamma': 2.475884550556351, 'learning_rate': 0.0585971302788046, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 99, 'subsample': 0.8650089137415928}",0.8059319867041678,0.8060598312452059,0.8074661211966249,0.7973664024546152,0.8146254154947584,0.8062899514190744,0.00548952014032706,10
6.4898041725158695,0.26346586036696024,0.04137763977050781,0.0025513986164229585,0.6558555380447055,2.600340105889054,0.1866775698358199,8,2,267,0.7799016533479063,"{'colsample_bytree': 0.6558555380447055, 'gamma': 2.600340105889054, 'learning_rate': 0.1866775698358199, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 267, 'subsample': 0.7799016533479063}",0.9285349015597034,0.9226540526719509,0.9249552544106366,0.9208642290974175,0.9262336998210177,0.9246484275121452,0.0026836393277222268,1
6.13819522857666,0.11682094376527957,0.03321056365966797,0.0008211176348241943,0.6975751180009072,4.6332943289689705,0.2318179989641052,10,7,301,0.6180909155642152,"{'colsample_bytree': 0.6975751180009072, 'gamma': 4.6332943289689705, 'learning_rate': 0.2318179989641052, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 301, 'subsample': 0.6180909155642152}",0.9121708003068268,0.9088468422398364,0.9092303758629506,0.9052671950907696,0.9126821784709793,0.9096394783942726,0.0026675124225507604,6
9.389385175704955,1.0699867468156306,0.055711793899536136,0.0024189889085493464,0.6626651653816322,1.9433864484474102,0.11783725794347398,7,8,459,0.9861021229056552,"{'colsample_bytree': 0.6626651653816322, 'gamma': 1.9433864484474102, 'learning_rate': 0.11783725794347398, 'max_depth': 7, 'min_child_weight': 8, 'n_estimators': 459, 'subsample': 0.9861021229056552}",0.9253387880337509,0.9199693173101509,0.9198414727691128,0.916261825620046,0.9246995653285605,0.9212221938123243,0.003379935010548145,4
