mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1493823528289795,0.24732261416928814,0.060288190841674805,0.016433287444393423,0.749816047538945,0.9802857225639665,0.15639878836228102,7,714,26,"{'bagging_fraction': 0.749816047538945, 'feature_fraction': 0.9802857225639665, 'learning_rate': 0.15639878836228102, 'max_depth': 7, 'min_data_in_leaf': 714, 'num_leaves': 26}",0.9185273564002046,0.9151184591784558,0.9123913414010567,0.9193795807056417,0.9180160218169422,0.9166865519004602,0.0025813253816454975,3
1.4067410469055175,0.004892490627521314,0.06942319869995117,0.017662167092365903,0.6399899663272012,0.7836995567863468,0.07674172222780437,10,763,10,"{'bagging_fraction': 0.6399899663272012, 'feature_fraction': 0.7836995567863468, 'learning_rate': 0.07674172222780437, 'max_depth': 10, 'min_data_in_leaf': 763, 'num_leaves': 10}",0.8844383841827169,0.8858019430714164,0.8818817112664054,0.8875063916822907,0.8830748252940174,0.8845406510993694,0.001980683694744672,8
2.565720319747925,0.048351400900272186,0.06703104972839355,0.026970921943908155,0.608233797718321,0.9879639408647978,0.17648852816008437,8,485,28,"{'bagging_fraction': 0.608233797718321, 'feature_fraction': 0.9879639408647978, 'learning_rate': 0.17648852816008437, 'max_depth': 8, 'min_data_in_leaf': 485, 'num_leaves': 28}",0.9282427134821886,0.9267087097324016,0.9292653826487132,0.9318220555650247,0.9314811658428498,0.9295040054542355,0.0019361816016584634,1
3.488989162445068,0.5283266359427127,0.1016855239868164,0.039810305139966876,0.8469926038510867,0.8446612641953124,0.011413261043943482,11,660,34,"{'bagging_fraction': 0.8469926038510867, 'feature_fraction': 0.8446612641953124, 'learning_rate': 0.011413261043943482, 'max_depth': 11, 'min_data_in_leaf': 660, 'num_leaves': 34}",0.8019430714163968,0.7995568433611726,0.8091017555820692,0.8065450826657576,0.798875063916823,0.8032043633884438,0.003989429374693115,10
1.5838409423828126,0.06562481736524084,0.033777046203613284,0.01184098379343189,0.8447411578889518,0.6557975442608167,0.06842892970704363,5,975,59,"{'bagging_fraction': 0.8447411578889518, 'feature_fraction': 0.6557975442608167, 'learning_rate': 0.06842892970704363, 'max_depth': 5, 'min_data_in_leaf': 975, 'num_leaves': 59}",0.867393898073973,0.8633032214078745,0.8629623316856997,0.8663712289074484,0.8651781148798364,0.8650417589909665,0.0017126104226460478,9
2.1097875118255613,0.10454270211715143,0.04100809097290039,0.0035845337121692767,0.836965827544817,0.6185801650879991,0.1315089703802877,7,940,46,"{'bagging_fraction': 0.836965827544817, 'feature_fraction': 0.6185801650879991, 'learning_rate': 0.1315089703802877, 'max_depth': 7, 'min_data_in_leaf': 940, 'num_leaves': 46}",0.9054031020964718,0.9030168740412476,0.9011419805692858,0.9069371058462588,0.9079597750127834,0.9048917675132095,0.0025073360216033105,5
1.3928588390350343,0.08565236278527509,0.045502328872680665,0.015977225414446933,0.6053059844639466,0.9768807022739411,0.12265764356910785,11,445,9,"{'bagging_fraction': 0.6053059844639466, 'feature_fraction': 0.9768807022739411, 'learning_rate': 0.12265764356910785, 'max_depth': 11, 'min_data_in_leaf': 445, 'num_leaves': 9}",0.901994204874723,0.9018237600136356,0.9023350945968979,0.9057439918186466,0.9028464291801602,0.9029486960968127,0.001440637232596906,6
2.908685398101807,0.3122660785291058,0.07072672843933106,0.029661283667250522,0.8736932106048627,0.7760609974958406,0.03440764696895577,10,134,21,"{'bagging_fraction': 0.8736932106048627, 'feature_fraction': 0.7760609974958406, 'learning_rate': 0.03440764696895577, 'max_depth': 10, 'min_data_in_leaf': 134, 'num_leaves': 21}",0.8856314982103289,0.8869950570990285,0.8856314982103289,0.8904039543207772,0.8854610533492415,0.8868246122379411,0.0018733433324062238,7
2.31844162940979,0.14272767407262996,0.07494778633117676,0.027890385107040814,0.7564242430292963,0.672894435115225,0.16107228206353053,8,665,49,"{'bagging_fraction': 0.7564242430292963, 'feature_fraction': 0.672894435115225, 'learning_rate': 0.16107228206353053, 'max_depth': 8, 'min_data_in_leaf': 665, 'num_leaves': 49}",0.9238111470939151,0.91750468723368,0.9183569115391171,0.9234702573717403,0.9227884779273905,0.9211862962331686,0.0026919498240871973,2
1.4168281078338623,0.15445546388042983,0.021866559982299805,0.002915584523197281,0.8270801311279966,0.6125253169822235,0.1784569549189997,4,301,43,"{'bagging_fraction': 0.8270801311279966, 'feature_fraction': 0.6125253169822235, 'learning_rate': 0.1784569549189997, 'max_depth': 4, 'min_data_in_leaf': 301, 'num_leaves': 43}",0.9106868927901823,0.9123913414010567,0.9091528890403955,0.9134140105675814,0.9147775694562809,0.9120845406510993,0.0019830290877448607,4
