mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_bootstrap_features,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.23301682472229,0.11409628098490054,0.16242384910583496,0.02457649009328749,True,False,0.9753571532049581,0.8659969709057025,70,"{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9753571532049581, 'max_samples': 0.8659969709057025, 'n_estimators': 70}",0.9222705190488366,0.9258501661979034,0.9133214011761698,0.9209920736384556,0.9317310150856558,0.9228330350294043,0.00604075940919241,7
5.644953823089599,0.1328890649939415,0.13935499191284179,0.04003578787379628,True,True,0.7229163764267956,0.5499874579090014,84,"{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.7229163764267956, 'max_samples': 0.5499874579090014, 'n_estimators': 84}",0.9383789312196369,0.9388903093837894,0.9324980823318845,0.9327537714139607,0.9452825364356942,0.937560726156993,0.004707457518942467,5
5.267067003250122,0.3690422547117278,0.055237531661987305,0.005734931033984262,False,True,0.8005575058716043,0.8540362888980227,31,"{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.8005575058716043, 'max_samples': 0.8540362888980227, 'n_estimators': 31}",0.9409358220403988,0.9406801329583226,0.9296855024290462,0.9342879059064177,0.9457939145998466,0.9382766555868065,0.00564048028744591,2
1.377207374572754,0.06366921763859085,0.028464841842651366,0.001919002344946431,True,False,0.8609993861334124,0.9692763545078751,11,"{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.8609993861334124, 'max_samples': 0.9692763545078751, 'n_estimators': 11}",0.9286627461007415,0.920225006392227,0.9166453592431603,0.9171567374073127,0.9281513679365891,0.9221682434160062,0.0052415638190002785,8
2.5649892807006838,0.08211041189596614,0.049442481994628903,0.00552347903133628,False,False,0.5917022549267169,0.6521211214797689,31,"{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.5917022549267169, 'max_samples': 0.6521211214797689, 'n_estimators': 31}",0.9386346203017131,0.9388903093837894,0.9317310150856558,0.9373561748913322,0.9429813346970084,0.9379186908718997,0.003624657662320502,3
3.2078574657440186,0.25942308125121477,0.08609309196472167,0.015079217380287877,True,False,0.5115312125207079,0.7623873301291946,51,"{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.5115312125207079, 'max_samples': 0.7623873301291946, 'n_estimators': 51}",0.9383789312196369,0.9340322168243416,0.9309639478394273,0.9373561748913322,0.9422142674507799,0.9365891076451035,0.00383704044639306,6
10.238317155838013,0.1886765811999497,0.13279318809509277,0.009144220843108118,False,False,0.9868777594207296,0.6163856702151521,71,"{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.9868777594207296, 'max_samples': 0.6163856702151521, 'n_estimators': 71}",0.9204806954743032,0.9197136282280747,0.9115315776016364,0.9156226029148555,0.9273843006903605,0.9189465609818461,0.005294678232899932,9
4.961997938156128,0.1645439678869234,0.11157798767089844,0.0210259448068958,True,False,0.5998368910791798,0.7571172192068059,73,"{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.5998368910791798, 'max_samples': 0.7571172192068059, 'n_estimators': 73}",0.9411915111224751,0.9399130657120941,0.9268729225262081,0.9360777294809511,0.945026847353618,0.9378164152390693,0.006173501561167074,4
8.870765972137452,0.4646638270055981,0.13663477897644044,0.04509482233081977,True,True,0.9299702033681603,0.8401537692938899,82,"{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.9299702033681603, 'max_samples': 0.8401537692938899, 'n_estimators': 82}",0.9419585783687037,0.9411915111224751,0.9284070570186653,0.9376118639734083,0.9478394272564562,0.9394016875479417,0.006403467488621243,1
2.782812738418579,0.29357838919619705,0.05262460708618164,0.014602458639575776,True,False,0.9744427686266666,0.9828160165372797,18,"{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9744427686266666, 'max_samples': 0.9828160165372797, 'n_estimators': 18}",0.9222705190488366,0.9158782919969317,0.9076962413704934,0.9102531321912555,0.9248274098695985,0.9161851188954231,0.006619137994433944,10
