cv_best_score,cv_best_mean_test_score,cv_best_std_test_score,test_score,accuracy,balanced_accuracy,precision,recall,f1,kappa_score,mcc_score,error_rate,best_params,confusion_matrix,classification_report,training_time,bootstrap_results,labeled_percentage,model_name,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
0.9202453987730062,0.9202453987730062,0.003050395478563656,0.5548708920187794,0.5548708920187794,0.31356896837707166,0.648442391990753,0.5548708920187794,0.5897492746744499,0.18616494767463831,0.1946774373307106,0.44512910798122063,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 100}","[[230, 73, 176, 9, 13], [78, 133, 174, 6, 15], [383, 451, 1521, 34, 56], [3, 0, 8, 0, 1], [15, 5, 16, 1, 7]]","{'A': {'precision': 0.3244005641748942, 'recall': 0.4590818363273453, 'f1-score': 0.3801652892561983, 'support': 501.0}, 'B': {'precision': 0.20090634441087613, 'recall': 0.3275862068965517, 'f1-score': 0.249063670411985, 'support': 406.0}, 'C': {'precision': 0.8026385224274406, 'recall': 0.6220858895705521, 'f1-score': 0.7009216589861751, 'support': 2445.0}, 'D': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 12.0}, 'E': {'precision': 0.07608695652173914, 'recall': 0.1590909090909091, 'f1-score': 0.10294117647058824, 'support': 44.0}, 'accuracy': 0.5548708920187794, 'macro avg': {'precision': 0.28080647750699006, 'recall': 0.31356896837707166, 'f1-score': 0.28661835902498933, 'support': 3408.0}, 'weighted avg': {'precision': 0.648442391990753, 'recall': 0.5548708920187794, 'f1-score': 0.5897492746744499, 'support': 3408.0}}",19.15243411064148,"{'mean_accuracy': 0.555487089201878, 'std_accuracy': 0.008762230378964297, 'mean_precision': 0.6490508058694505, 'std_precision': 0.009785054103670532, 'mean_recall': 0.555487089201878, 'std_recall': 0.008762230378964299, 'mean_f1': 0.5902694759749053, 'std_f1': 0.008381425813038119}",20,LabelPropagation,0.555487089201878,0.008762230378964297,0.6490508058694505,0.009785054103670532,0.555487089201878,0.008762230378964299,0.5902694759749053,0.008381425813038119
0.9202453987730062,0.9202453987730062,0.003050395478563656,0.5548708920187794,0.5548708920187794,0.31356896837707166,0.648442391990753,0.5548708920187794,0.5897492746744499,0.18616494767463831,0.1946774373307106,0.44512910798122063,"{'n_neighbors': 9, 'kernel': 'rbf', 'gamma': 100, 'alpha': 0.8}","[[230, 73, 176, 9, 13], [78, 133, 174, 6, 15], [383, 451, 1521, 34, 56], [3, 0, 8, 0, 1], [15, 5, 16, 1, 7]]","{'A': {'precision': 0.3244005641748942, 'recall': 0.4590818363273453, 'f1-score': 0.3801652892561983, 'support': 501.0}, 'B': {'precision': 0.20090634441087613, 'recall': 0.3275862068965517, 'f1-score': 0.249063670411985, 'support': 406.0}, 'C': {'precision': 0.8026385224274406, 'recall': 0.6220858895705521, 'f1-score': 0.7009216589861751, 'support': 2445.0}, 'D': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 12.0}, 'E': {'precision': 0.07608695652173914, 'recall': 0.1590909090909091, 'f1-score': 0.10294117647058824, 'support': 44.0}, 'accuracy': 0.5548708920187794, 'macro avg': {'precision': 0.28080647750699006, 'recall': 0.31356896837707166, 'f1-score': 0.28661835902498933, 'support': 3408.0}, 'weighted avg': {'precision': 0.648442391990753, 'recall': 0.5548708920187794, 'f1-score': 0.5897492746744499, 'support': 3408.0}}",40.98309516906738,"{'mean_accuracy': 0.5552318075117371, 'std_accuracy': 0.008715021396334632, 'mean_precision': 0.6492742828227722, 'std_precision': 0.0102763707296448, 'mean_recall': 0.5552318075117371, 'std_recall': 0.008715021396334632, 'mean_f1': 0.5901637666338657, 'std_f1': 0.00848129549156409}",20,LabelSpreading,0.5552318075117371,0.008715021396334632,0.6492742828227722,0.0102763707296448,0.5552318075117371,0.008715021396334632,0.5901637666338657,0.00848129549156409
0.9235489644592176,0.9235489644592176,0.001892790132786692,0.5856807511737089,0.5856807511737089,0.3546910678901827,0.6613421019051752,0.5856807511737089,0.614380134501482,0.22070550008672163,0.22824205061049999,0.4143192488262911,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 100}","[[234, 65, 183, 2, 17], [81, 147, 165, 1, 12], [370, 390, 1605, 29, 51], [1, 3, 7, 1, 0], [12, 3, 19, 1, 9]]","{'A': {'precision': 0.335243553008596, 'recall': 0.46706586826347307, 'f1-score': 0.39032527105921605, 'support': 501.0}, 'B': {'precision': 0.24177631578947367, 'recall': 0.3620689655172414, 'f1-score': 0.2899408284023669, 'support': 406.0}, 'C': {'precision': 0.8110156644770086, 'recall': 0.656441717791411, 'f1-score': 0.7255877034358046, 'support': 2445.0}, 'D': {'precision': 0.029411764705882353, 'recall': 0.08333333333333333, 'f1-score': 0.04347826086956522, 'support': 12.0}, 'E': {'precision': 0.10112359550561797, 'recall': 0.20454545454545456, 'f1-score': 0.13533834586466165, 'support': 44.0}, 'accuracy': 0.5856807511737089, 'macro avg': {'precision': 0.3037141786973157, 'recall': 0.3546910678901827, 'f1-score': 0.3169340819263229, 'support': 3408.0}, 'weighted avg': {'precision': 0.6613421019051752, 'recall': 0.5856807511737089, 'f1-score': 0.614380134501482, 'support': 3408.0}}",226.3857660293579,"{'mean_accuracy': 0.5853477112676057, 'std_accuracy': 0.007982551621753783, 'mean_precision': 0.6608979625235313, 'std_precision': 0.008692759974514826, 'mean_recall': 0.5853477112676057, 'std_recall': 0.007982551621753787, 'mean_f1': 0.614037404716155, 'std_f1': 0.007676194696590755}",40,LabelPropagation,0.5853477112676057,0.007982551621753783,0.6608979625235313,0.008692759974514826,0.5853477112676057,0.007982551621753787,0.614037404716155,0.007676194696590755
0.922168243416006,0.922168243416006,0.001556136441288965,0.5827464788732394,0.5827464788732394,0.35501209647883936,0.6630710046355778,0.5827464788732394,0.6131546717872358,0.22138125740271464,0.22944860770540015,0.4172535211267606,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 20, 'alpha': 0.2}","[[235, 65, 177, 6, 18], [78, 149, 164, 3, 12], [373, 385, 1592, 38, 57], [1, 3, 7, 1, 0], [12, 3, 19, 1, 9]]","{'A': {'precision': 0.3361945636623748, 'recall': 0.469061876247505, 'f1-score': 0.39166666666666666, 'support': 501.0}, 'B': {'precision': 0.2462809917355372, 'recall': 0.3669950738916256, 'f1-score': 0.294757665677547, 'support': 406.0}, 'C': {'precision': 0.8126595201633486, 'recall': 0.6511247443762781, 'f1-score': 0.7229791099000908, 'support': 2445.0}, 'D': {'precision': 0.02040816326530612, 'recall': 0.08333333333333333, 'f1-score': 0.032786885245901634, 'support': 12.0}, 'E': {'precision': 0.09375, 'recall': 0.20454545454545456, 'f1-score': 0.12857142857142856, 'support': 44.0}, 'accuracy': 0.5827464788732394, 'macro avg': {'precision': 0.30185864776531335, 'recall': 0.35501209647883936, 'f1-score': 0.31415235121232693, 'support': 3408.0}, 'weighted avg': {'precision': 0.6630710046355778, 'recall': 0.5827464788732394, 'f1-score': 0.6131546717872358, 'support': 3408.0}}",2290.7871680259705,"{'mean_accuracy': 0.5832056924882629, 'std_accuracy': 0.008609855841092463, 'mean_precision': 0.6645921951725606, 'std_precision': 0.00934869957248158, 'mean_recall': 0.5832056924882629, 'std_recall': 0.008609855841092463, 'mean_f1': 0.6139062922107964, 'std_f1': 0.008054825558575092}",40,LabelSpreading,0.5832056924882629,0.008609855841092463,0.6645921951725606,0.00934869957248158,0.5832056924882629,0.008609855841092463,0.6139062922107964,0.008054825558575092
0.8956195670700527,0.8956195670700527,0.0029336328582171937,0.5234741784037559,0.5234741784037559,0.40050482793366393,0.6847873894062394,0.5234741784037559,0.5670632593173929,0.222501823778532,0.24740580714973828,0.4765258215962441,"{'n_neighbors': 3, 'kernel': 'knn', 'gamma': 500}","[[284, 74, 113, 6, 24], [91, 200, 102, 4, 9], [496, 516, 1287, 61, 85], [2, 3, 5, 2, 0], [16, 2, 15, 0, 11]]","{'A': {'precision': 0.3194600674915636, 'recall': 0.5668662674650699, 'f1-score': 0.40863309352517985, 'support': 501.0}, 'B': {'precision': 0.25157232704402516, 'recall': 0.49261083743842365, 'f1-score': 0.33305578684429643, 'support': 406.0}, 'C': {'precision': 0.8455978975032852, 'recall': 0.5263803680981595, 'f1-score': 0.6488530375598689, 'support': 2445.0}, 'D': {'precision': 0.0273972602739726, 'recall': 0.16666666666666666, 'f1-score': 0.047058823529411764, 'support': 12.0}, 'E': {'precision': 0.08527131782945736, 'recall': 0.25, 'f1-score': 0.12716763005780346, 'support': 44.0}, 'accuracy': 0.5234741784037559, 'macro avg': {'precision': 0.3058597740284608, 'recall': 0.40050482793366393, 'f1-score': 0.3129536743033121, 'support': 3408.0}, 'weighted avg': {'precision': 0.6847873894062394, 'recall': 0.5234741784037559, 'f1-score': 0.5670632593173929, 'support': 3408.0}}",2239.2513568401337,"{'mean_accuracy': 0.5233318661971831, 'std_accuracy': 0.007985263831724562, 'mean_precision': 0.6844356872893614, 'std_precision': 0.009258769160758679, 'mean_recall': 0.5233318661971831, 'std_recall': 0.007985263831724564, 'mean_f1': 0.5668656643006083, 'std_f1': 0.007637845329606015}",60,LabelPropagation,0.5233318661971831,0.007985263831724562,0.6844356872893614,0.009258769160758679,0.5233318661971831,0.007985263831724564,0.5668656643006083,0.007637845329606015
0.9199931822055565,0.9199931822055565,0.0020299403348845416,0.5648474178403756,0.5648474178403756,0.3507515008803314,0.6532251958971638,0.5648474178403755,0.5966791456096244,0.1993966562323426,0.20846472760654752,0.4351525821596244,"{'n_neighbors': 9, 'kernel': 'rbf', 'gamma': 200, 'alpha': 0.2}","[[231, 62, 188, 2, 18], [104, 143, 151, 1, 7], [470, 355, 1540, 31, 49], [2, 2, 7, 1, 0], [13, 2, 19, 0, 10]]","{'A': {'precision': 0.2817073170731707, 'recall': 0.46107784431137727, 'f1-score': 0.3497350492051476, 'support': 501.0}, 'B': {'precision': 0.25354609929078015, 'recall': 0.3522167487684729, 'f1-score': 0.2948453608247423, 'support': 406.0}, 'C': {'precision': 0.8083989501312336, 'recall': 0.6298568507157464, 'f1-score': 0.7080459770114942, 'support': 2445.0}, 'D': {'precision': 0.02857142857142857, 'recall': 0.08333333333333333, 'f1-score': 0.0425531914893617, 'support': 12.0}, 'E': {'precision': 0.11904761904761904, 'recall': 0.22727272727272727, 'f1-score': 0.15624999999999997, 'support': 44.0}, 'accuracy': 0.5648474178403756, 'macro avg': {'precision': 0.2982542828228464, 'recall': 0.3507515008803314, 'f1-score': 0.31028591570614916, 'support': 3408.0}, 'weighted avg': {'precision': 0.6532251958971638, 'recall': 0.5648474178403755, 'f1-score': 0.5966791456096244, 'support': 3408.0}}",2000.4765810966492,"{'mean_accuracy': 0.564950117370892, 'std_accuracy': 0.008744463770192213, 'mean_precision': 0.6535648112639802, 'std_precision': 0.009388659031795544, 'mean_recall': 0.564950117370892, 'std_recall': 0.008744463770192213, 'mean_f1': 0.5968769525858415, 'std_f1': 0.008320145539086138}",60,LabelSpreading,0.564950117370892,0.008744463770192213,0.6535648112639802,0.009388659031795544,0.564950117370892,0.008744463770192213,0.5968769525858415,0.008320145539086138
0.9219381232421375,0.9219381232421375,0.001895551316067551,0.5745305164319249,0.5745305164319249,0.37164085896052473,0.6647157049585953,0.5745305164319249,0.6078712071021247,0.21959736682019093,0.22903778555464518,0.4254694835680751,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 10}","[[232, 77, 169, 2, 21], [73, 157, 157, 5, 14], [382, 391, 1558, 42, 72], [1, 1, 8, 2, 0], [14, 2, 18, 1, 9]]","{'A': {'precision': 0.33048433048433046, 'recall': 0.4630738522954092, 'f1-score': 0.3857024106400665, 'support': 501.0}, 'B': {'precision': 0.25, 'recall': 0.3866995073891626, 'f1-score': 0.3036750483558994, 'support': 406.0}, 'C': {'precision': 0.8157068062827225, 'recall': 0.6372188139059305, 'f1-score': 0.7154994259471872, 'support': 2445.0}, 'D': {'precision': 0.038461538461538464, 'recall': 0.16666666666666666, 'f1-score': 0.0625, 'support': 12.0}, 'E': {'precision': 0.07758620689655173, 'recall': 0.20454545454545456, 'f1-score': 0.11250000000000002, 'support': 44.0}, 'accuracy': 0.5745305164319249, 'macro avg': {'precision': 0.3024477764250287, 'recall': 0.37164085896052473, 'f1-score': 0.31597537698863065, 'support': 3408.0}, 'weighted avg': {'precision': 0.6647157049585953, 'recall': 0.5745305164319249, 'f1-score': 0.6078712071021247, 'support': 3408.0}}",3856.231999874115,"{'mean_accuracy': 0.5744762323943662, 'std_accuracy': 0.008861214623745154, 'mean_precision': 0.6644053408303361, 'std_precision': 0.009096407267403657, 'mean_recall': 0.5744762323943662, 'std_recall': 0.00886121462374515, 'mean_f1': 0.6077682087580916, 'std_f1': 0.008317834271357325}",80,LabelPropagation,0.5744762323943662,0.008861214623745154,0.6644053408303361,0.009096407267403657,0.5744762323943662,0.00886121462374515,0.6077682087580916,0.008317834271357325
0.9256967527486577,0.9256967527486577,0.001886562694522798,0.5892018779342723,0.5892018779342723,0.35787636341174495,0.6643169511892953,0.5892018779342723,0.6177983822171454,0.22657112062083096,0.2341431966139963,0.41079812206572774,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 100, 'alpha': 0.4}","[[228, 73, 181, 0, 19], [72, 157, 162, 3, 12], [366, 381, 1613, 29, 56], [1, 0, 10, 1, 0], [14, 2, 18, 1, 9]]","{'A': {'precision': 0.33480176211453744, 'recall': 0.4550898203592814, 'f1-score': 0.38578680203045684, 'support': 501.0}, 'B': {'precision': 0.2561174551386623, 'recall': 0.3866995073891626, 'f1-score': 0.3081452404317959, 'support': 406.0}, 'C': {'precision': 0.8130040322580645, 'recall': 0.6597137014314929, 'f1-score': 0.7283811244073154, 'support': 2445.0}, 'D': {'precision': 0.029411764705882353, 'recall': 0.08333333333333333, 'f1-score': 0.04347826086956522, 'support': 12.0}, 'E': {'precision': 0.09375, 'recall': 0.20454545454545456, 'f1-score': 0.12857142857142856, 'support': 44.0}, 'accuracy': 0.5892018779342723, 'macro avg': {'precision': 0.3054170028434293, 'recall': 0.35787636341174495, 'f1-score': 0.31887257126211244, 'support': 3408.0}, 'weighted avg': {'precision': 0.6643169511892953, 'recall': 0.5892018779342723, 'f1-score': 0.6177983822171454, 'support': 3408.0}}",6210.278233766556,"{'mean_accuracy': 0.5894644953051643, 'std_accuracy': 0.0086823921193013, 'mean_precision': 0.664287802047684, 'std_precision': 0.00940039830712435, 'mean_recall': 0.5894644953051643, 'std_recall': 0.0086823921193013, 'mean_f1': 0.6180328124309737, 'std_f1': 0.00831954094196885}",80,LabelSpreading,0.5894644953051643,0.0086823921193013,0.664287802047684,0.00940039830712435,0.5894644953051643,0.0086823921193013,0.6180328124309737,0.00831954094196885
0.9244221722233587,0.9244221722233587,0.0019511949302862585,0.6065140845070423,0.6065140845070423,0.3685292114991675,0.6717245826689636,0.6065140845070423,0.6320214651320404,0.24542662086738176,0.2519480285713462,0.39348591549295775,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 100}","[[231, 72, 185, 0, 13], [71, 158, 162, 5, 10], [344, 349, 1667, 31, 54], [1, 2, 8, 1, 0], [14, 3, 17, 0, 10]]","{'A': {'precision': 0.3494704992435703, 'recall': 0.46107784431137727, 'f1-score': 0.3975903614457831, 'support': 501.0}, 'B': {'precision': 0.2705479452054795, 'recall': 0.3891625615763547, 'f1-score': 0.31919191919191925, 'support': 406.0}, 'C': {'precision': 0.8175576262873958, 'recall': 0.681799591002045, 'f1-score': 0.7435325602140945, 'support': 2445.0}, 'D': {'precision': 0.02702702702702703, 'recall': 0.08333333333333333, 'f1-score': 0.04081632653061225, 'support': 12.0}, 'E': {'precision': 0.11494252873563218, 'recall': 0.22727272727272727, 'f1-score': 0.15267175572519084, 'support': 44.0}, 'accuracy': 0.6065140845070423, 'macro avg': {'precision': 0.31590912529982096, 'recall': 0.3685292114991675, 'f1-score': 0.33076058462152, 'support': 3408.0}, 'weighted avg': {'precision': 0.6717245826689636, 'recall': 0.6065140845070423, 'f1-score': 0.6320214651320404, 'support': 3408.0}}",9194.331430196762,"{'mean_accuracy': 0.6066475938967136, 'std_accuracy': 0.00908363683624812, 'mean_precision': 0.6713941670936149, 'std_precision': 0.010164601062356603, 'mean_recall': 0.6066475938967136, 'std_recall': 0.009083636836248124, 'mean_f1': 0.631977776346876, 'std_f1': 0.008864146776708189}",100,LabelPropagation,0.6066475938967136,0.00908363683624812,0.6713941670936149,0.010164601062356603,0.6066475938967136,0.009083636836248124,0.631977776346876,0.008864146776708189
0.9137560672726428,0.9137560672726428,0.001199093398081313,0.5730633802816901,0.5730633802816901,0.34807401398686777,0.6575836643527422,0.5730633802816901,0.6042155756429587,0.20845701924040838,0.2169904051779897,0.4269366197183099,"{'n_neighbors': 7, 'kernel': 'rbf', 'gamma': 200, 'alpha': 0.6000000000000001}","[[232, 71, 179, 0, 19], [93, 141, 157, 3, 12], [436, 357, 1570, 26, 56], [2, 0, 9, 1, 0], [15, 2, 17, 1, 9]]","{'A': {'precision': 0.2982005141388175, 'recall': 0.4630738522954092, 'f1-score': 0.36278342455043, 'support': 501.0}, 'B': {'precision': 0.2469352014010508, 'recall': 0.3472906403940887, 'f1-score': 0.2886386898669396, 'support': 406.0}, 'C': {'precision': 0.8126293995859213, 'recall': 0.6421267893660532, 'f1-score': 0.717386337674206, 'support': 2445.0}, 'D': {'precision': 0.03225806451612903, 'recall': 0.08333333333333333, 'f1-score': 0.046511627906976744, 'support': 12.0}, 'E': {'precision': 0.09375, 'recall': 0.20454545454545456, 'f1-score': 0.12857142857142856, 'support': 44.0}, 'accuracy': 0.5730633802816901, 'macro avg': {'precision': 0.2967546359283837, 'recall': 0.34807401398686777, 'f1-score': 0.3087783017139962, 'support': 3408.0}, 'weighted avg': {'precision': 0.6575836643527422, 'recall': 0.5730633802816901, 'f1-score': 0.6042155756429587, 'support': 3408.0}}",24070.37282180786,"{'mean_accuracy': 0.5719454225352113, 'std_accuracy': 0.00802561774369088, 'mean_precision': 0.6576927366011699, 'std_precision': 0.009629540479032774, 'mean_recall': 0.5719454225352113, 'std_recall': 0.008025617743690877, 'mean_f1': 0.6034275030342137, 'std_f1': 0.007852894788849233}",100,LabelSpreading,0.5719454225352113,0.00802561774369088,0.6576927366011699,0.009629540479032774,0.5719454225352113,0.008025617743690877,0.6034275030342137,0.007852894788849233
