,Random Forest,XGBoost,LightGBM,Decision Tree
customer_country_mode_TW,0.0,0.0014080658,12.82128540857806,0.0
customer_country_mode_UA,0.0024806956538332425,0.040519517,1365.9311732026672,0.00013130591198109166
customer_country_mode_US,0.01335054938258616,0.010742515,9900.81585078427,0.015559544710113496
customer_country_mode_UY,0.0,0.0,0.0,0.0
customer_country_mode_VE,0.0,0.0,0.0,0.0
customer_country_mode_VN,0.0,0.0,0.0,0.0
customer_country_mode_ZA,0.00023413829942497933,0.014058706,395.8266897950821,0.0
quantity_sum,0.04799908063926656,0.00558157,24406.116435709097,0.02372493889678204
price_sum,0.06613324044468434,0.006774069,47666.154977236954,0.05410335170539105
unit_weight,0.16786305394884068,0.01684383,150586.70335947763,0.26843406055844965
unit_price_mean,0.10130472573911066,0.011272867,71030.40710283215,0.06521379811789639
customer_country_count,0.062013135325547905,0.010513021,43892.397881702964,0.031886169452703325
customer_id_count,0.0677475825121778,0.011017241,63637.68118558925,0.06720830353692635
