,RandomForest,XGBoost,LightGBM,DecisionTree
customer_country_mode_TH,0.0,0.0,0.0,0.0
customer_country_mode_TR,0.0,0.0020140533,0.0,0.0
customer_country_mode_TW,0.0,0.0,0.0,0.0
customer_country_mode_UA,0.014585702506820536,0.010846067,242.54991467819525,0.0
customer_country_mode_US,0.009393558673086411,0.00803159,2074.380653271634,0.0060475414250474
customer_country_mode_UY,0.0,0.0,0.0,0.0
customer_country_mode_VN,0.0,0.0,0.0,0.0
customer_country_mode_ZA,0.0,0.0,0.0,0.0
quantity_sum,0.05414887521074556,0.0056032613,6054.863045900684,0.0043618846254742565
price_sum,0.05936629377597606,0.008602206,9716.603759314567,0.023133705751698545
unit_weight,0.14133795743944405,0.030798119,30207.973517648436,0.26716131510294694
unit_price_mean,0.09371521961078826,0.010195369,14670.070200285385,0.0764955303212533
customer_country_count,0.0502265228193206,0.010543535,7676.589149012229,0.024310219843726312
customer_id_count,0.05339356587922497,0.011678388,10188.442904825377,0.02942687446648368
